song_title,artist_name,release_month,release_year,artist_pop,track_pop,duration_s,explicit
The Way I Loved You (Taylor’s Version),Taylor Swift,4,2021,97,73,243.136,FALSE
What You Know,Two Door Cinema Club,2,2010,68,19,189.693,FALSE
Natural Mystic,Bob Marley & The Wailers,6,1977,80,71,207.733,FALSE
Addicted,Zerb,3,2024,71,80,152.25,TRUE
Where the Wild Things Are,Luke Combs,3,2023,84,80,239.533,FALSE
just stand there,Fred again..,9,2024,77,61,260.997,FALSE
Jesus of Suburbia,Green Day,9,2004,80,64,548.253,TRUE
"You're On Your Own, Kid",Taylor Swift,10,2022,97,76,194.206,FALSE
Better Days (NEIKED x Mae Muller x Polo G),NEIKED,9,2021,57,68,160.656,FALSE
LALALI,SEVENTEEN,4,2024,79,63,171.68,FALSE
Mr. Brightside,The Killers,6,2004,77,85,222.973,FALSE
Leave The Bourbon On The Shelf,The Killers,1,2007,77,38,218.493,FALSE
Voyager,Daft Punk,3,2001,81,62,227.866,FALSE
Roi,Videoclub,1,2021,64,71,222.28,FALSE
Wish You Were Here,Pink Floyd,9,1975,78,75,334.743,FALSE
Oklahoma Smokeshow,Zach Bryan,7,2022,87,76,211.739,FALSE
Evil,Interpol,9,2004,62,62,215.826,FALSE
Best Song Ever,One Direction,11,2013,85,75,200.106,FALSE
Veruca Salt,49 Winchester,5,2018,60,36,274.776,FALSE
Lost In You,Marsh,7,2020,52,39,210.356,FALSE
Ruthless,The Marías,9,2018,80,59,247.455,FALSE
Disorder - 2007 Remaster,Joy Division,6,1979,62,64,209.039,FALSE
Mary On A Cross,Ghost,9,2019,72,76,244.804,FALSE
The Last Stand,Sabaton,8,2016,71,67,235.84,FALSE
Kiss Me,Sixpence None The Richer,11,1997,67,81,208.68,FALSE
Praise You,Fatboy Slim,1,1998,63,54,323.24,FALSE
Cómo Te Atreves,Morat,6,2016,81,73,240.56,FALSE
All My Love,Noah Kahan,10,2022,84,77,251.51,FALSE
For You,CHEN,8,2016,56,59,196.549,FALSE
"Good Luck, Babe!",Chappell Roan,4,2024,85,92,218.423,FALSE
Closer 2,EDEN,9,2022,58,40,198.145,FALSE
All I Do Is Think of You,Troop,10,1989,40,53,229.053,FALSE
Hawk Em,Pop Smoke,7,2019,78,61,118.8,TRUE
Reptilia,The Strokes,10,2003,76,77,219.826,FALSE
Talk talk,Charli xcx,6,2024,84,67,161.757,FALSE
Free Stress Test,Professor Murder,7,2006,12,24,256.665,FALSE
World Princess part II,Grimes,11,2015,68,47,305.752,FALSE
Meet Me Halfway,Black Eyed Peas,1,2009,80,72,284.373,FALSE
Billie (loving arms),Fred again..,8,2021,77,53,217.265,FALSE
Your Name Engraved Herein,Edward Chen,11,2020,23,33,323.103,FALSE
Kiss It Better,Rihanna,1,2016,90,77,253.08,TRUE
blue,yung kai,8,2024,74,88,214.357,FALSE
THE BEACH,Vince Staples,4,2022,67,51,67.209,TRUE
Doomsday,MF DOOM,10,1999,75,71,298.053,TRUE
Bohemian Rhapsody,Queen,1,2006,84,62,355.4,FALSE
Coven,Thornhill,10,2019,50,40,217.773,FALSE
Peace of Mind,Boston,5,1976,64,63,303.586,FALSE
Hotel California - 2013 Remaster,Eagles,12,1976,76,81,391.376,FALSE
First,Cold War Kids,10,2014,58,65,200.36,FALSE
on one tonight,Gunna,5,2024,86,84,90.76,TRUE
東風,YELLOW MAGIC ORCHESTRA,11,1978,45,24,375.106,FALSE
Love Yourz,J. Cole,12,2014,85,73,211.496,TRUE
Everlong,Foo Fighters,5,1997,76,81,250.546,FALSE
Beach Life-In-Death,Car Seat Headrest,2,2018,61,51,798.692,TRUE
100,Dean Blunt,11,2014,61,65,200.906,FALSE
Otherside,Post Malone,4,2018,88,57,228.226,TRUE
I'm Coming Home,Jared Benjamin,5,2024,54,50,138.507,FALSE
Pop Star 팝스타,Peachy!,1,2020,54,34,156.694,FALSE
(Sittin' On) the Dock of the Bay,Otis Redding,5,1968,70,77,163.755,FALSE
"On My Way - From ""Brother Bear""/Soundtrack Version",Phil Collins,1,2003,76,57,220.293,FALSE
Better Days (feat. John Mayer),Zach Bryan,7,2024,87,53,212.466,FALSE
HUMBLE.,Kendrick Lamar,4,2017,94,82,177,TRUE
Life Goes On,Lil Baby,5,2018,88,72,247.054,TRUE
"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,1,2013,75,75,223.84,FALSE
The Night Is Still Young,Nicki Minaj,12,2014,85,59,227.56,TRUE
White Iverson,Post Malone,12,2016,88,74,256.532,TRUE
S P E Y S I D E,Bon Iver,10,2024,75,67,209.077,FALSE
Homesick - Live From Fenway Park,Noah Kahan,8,2024,84,49,257.903,TRUE
Spread Thin,Mariah the Scientist,3,2022,67,72,202.519,FALSE
No Flex Zone,Rae Sremmurd,1,2015,70,54,231.066,TRUE
Sultans of Swing,Dire Straits,10,1978,77,64,348.76,FALSE
Fluorescent Adolescent,Arctic Monkeys,7,2007,86,42,183.893,FALSE
DO IT,KAYTRANADA,12,2019,71,41,132.36,FALSE
High School in Jakarta,NIKI,8,2022,77,66,219.04,TRUE
cheap sunglasses,John K,11,2020,53,45,199.169,FALSE
Every Breath You Take,The Police,6,1983,77,88,253.92,FALSE
Paranoid Android,Radiohead,5,1997,83,68,387.213,FALSE
Viva La Vida,Coldplay,5,2008,89,86,242.373,FALSE
Time to Pretend,MGMT,12,2007,74,72,261,TRUE
"Lover, You Should've Come Over",Jeff Buckley,6,1994,69,75,404.213,FALSE
drive ME crazy!,Lil Yachty,1,2023,78,70,229.804,TRUE
WET SOCKS,Richy Mitch & The Coal Miners,6,2019,71,57,147,FALSE
K.,Cigarettes After Sex,6,2017,85,83,320.03,FALSE
No Place,RÜFÜS DU SOL,10,2018,73,59,237.986,FALSE
The Nights,Avicii,1,2014,83,83,176.658,FALSE
Poppy,Mac Miller,8,2010,84,49,172.732,FALSE
Star Shopping,Lil Peep,7,2015,84,22,142,TRUE
Better Than This,John Summit,5,2021,72,60,188.16,FALSE
雲天明,陳楚生,10,2024,43,17,230.291,FALSE
Naperville,Katy Kirby,7,2024,35,18,185.945,FALSE
Blue (Da Ba Dee) - Gabry Ponte Video Edit,Eiffel 65,11,1998,61,62,219.618,FALSE
French Exit,Dua Lipa,5,2024,87,56,201.286,FALSE
Jackie Onassis,Sammy Rae & The Friends,6,2020,53,48,293.142,FALSE
Feels Like Summer,Childish Gambino,7,2018,79,66,297.404,FALSE
Blackbird - Remastered 2009,The Beatles,11,1968,84,75,138.386,FALSE
Red Flags,Tinashe,8,2024,71,44,129.254,FALSE
FAMJAM4000,Jordan Ward,3,2023,60,65,158.133,FALSE
Rock Ur World,Knock2,1,2023,62,55,281.066,FALSE
Waterfalls,TLC,11,1994,69,72,279.506,FALSE
Congo (Tunnel Mix),The Boss,1,1994,39,10,375.04,FALSE
ياوطني يا بلد أحبابي,عمر الأمين,1,2020,25,28,157.544,FALSE
leavemealone,Fred again..,12,2023,77,68,222.784,TRUE
APT.,ROSÉ,10,2024,88,96,169.917,FALSE
What I Want,Nate Good,10,2020,47,7,149.384,TRUE
Fantasy (feat. Don Toliver),Kali Uchis,3,2023,84,65,178.274,FALSE
Static,Steve Lacy,7,2022,80,72,156.506,TRUE
3,Snakey Swag,1,2021,0,0,57.026,FALSE
O.D.,Polyphia,10,2018,60,47,202.163,FALSE
Locked out of Heaven,Bruno Mars,12,2012,94,89,233.478,FALSE
Tomorrow,Shakey Graves,9,2016,59,65,240.586,FALSE
Camelia,Mili,2,2018,61,21,281.954,FALSE
Uptight (Everything's Alright),Stevie Wonder,5,1966,77,55,174.4,FALSE
